"artist","title","slug","form","desc","imgur","url","website","instagram","twitter","facebook"
"Karen Okpoti","Symbiosis","symbiosis","Video of the work + Q&A","Symbiosis is a piece which explores the parasitic and mutualistic relationships between the  plant and animal kingdom in the form of a 3D simulation. All three kingdoms rely on each other for food, growth and survival.","eFnGlqC","","","kazxart","",""
"Lou Terry","Feral Robotic Birds","feral-robotic-birds","Video of the work + Q&A","Birdsong adapts and responds to sonic changes in the environment.  Using nightingale songs as a start-point, Feral Robotic Birds speculate the future of birdsong by listening to their environments, and slowly incorporating the sonic history of those environments into their ever-changing songs.","XY9T5Xh","http://doc.gold.ac.uk/compartsblog/index.php/work/feral-robotic-birds/","","","",""
"kris hillquist","Everything Glitched","everything-glitched","Talk / Demo + Q&A","I woke up one morning and everything had glitched.  This work is an audio-visual response to the Covid 19 lockdown.  Deliberately repetitive and at times off-key, the work expresses the unease of this time.","wjL1nZC","http://doc.gold.ac.uk/compartsblog/index.php/work/15622/","","Kris Cirkuit","","kris.cirkuit.7"
"Gerolamo Gnecchi Ruscone","For the Tide!","for-the-tide","Talk / Demo + Q&A","This project is a first step to understand the Thames Tide ecosystem and pave new horizons in designing with the Tide.","wnL0KYX","https://issuu.com/gerolamognecchi/docs/the_tide","","","",""
"Yasmine Boudiaf","Algerian Hand Gestures","algerian-hand-gestures","Video of the work + Q&A","This interactive project uses a camera to detect hand gestures and a speaker to produce corresponding verbal sounds.","lvV8XRc","https://www.yasmine-boudiaf.com/#/algerian-hand-gestures/","https://www.yasmine-boudiaf.com/","","YasmineBoudiaf",""
"Yanyi Lu","Replica","replica","Video of the work + Q&A","This artwork will tell a story of my digital plant and I in a cyberpunk way. I raised some questions based on the semiotics of plant and human and started my project with these. Can I keep my dying plants forever? Can I be my plant, and can we be together?","BpZduNK","https://yanyilu.wordpress.com/2020/05/14/replica/","https://yanyilu.wordpress.com/","yanyiiscoding","",""
"Agnes, Yuhyeon Jun","Wave Scape in Lake","wave-scape-in-lake","Talk / Demo + Q&A","It represents 'Acoustic harmony of multispecies' such as goose and ducks in Lake as an aspect of the biodiversity in nature. It goes through 'how they live together' by generative waves with 'Binaural Spatial Sound'. As a musical, I perform with species and generate audiovisual art on my movement.","XLNgaIE","https://www.joyfulmediaartistagnes.com/work/wave-scape","https://www.joyfulmediaartistagnes.com/","joyfulmediaartist","",""
"Yishuai Zhang","Translucence","translucence","Talk / Demo + Q&A","“Translucence” is a virtual space constructed from various embodiments of my fragmented memories, taking the form of poetry, sculpture, still image, video clips, and animations. The visitor becomes a thread that connects these different elements by controlling an invisible avatar in the space.","LX3DQUS","http://zhangyishuai.com/translusence.html","http://zhangyishuai.com","daven_zhang","ai_yishu","ZhangYishuaiStudio"
"Chloe Karnezi","A Rose is a Rose is a Rose","a-rose-is-a-rose-is-a-rose","Video of the work + Q&A","This project is a 3D visualisation of different rose shapes, based on the geometrical concept of the Maurer Rose by Peter M. Maurer. The title of this project was inspired by Gertrude Stein’s 1913 poem titled ""Sacred Emily,"" which contains the famous verse, ""Rose is a rose is a rose is a rose.""","ClKD5Fe","https://www.youtube.com/watch?v=8Ef4JzkuAWw","","","",""
"Christina Karpodini","""Οικολογία"" (ecologia)","oikologia-ecologia","Performance","“Ecologia” is a piece dedicated, as the title describes, to ecology, it reflects on humans improvident plastic waste and it creates an imaginary soundscape by sonifing the image of all land fields of earth bulging with plastics.","PHdN4ck","https://ckarpodini.wixsite.com/christinakarpodini/composition-for-media","https://ckarpodini.wixsite.com/christinakarpodini","christikarp","",""
"Elli Koliniati","Inside Us - A VR experience","inside-us-a-vr-experience","Video of the work + Q&A","""Inside Us"" is a VR experience of the internal workings of an organism. You float around inside an infected body while blood cells flow around you as well. You are able to see some corona viruses and bacilles as well, each of which are programmed to move according to a certain flocking behaviour.","wgkEfTW","https://www.youtube.com/watch?v=53_L-o-ADSM","","ell_.k","",""
"with.lasers","orbiðvēl.V","orbidvelv","Talk / Demo + Q&A","A meditation on the interaction we have has an individual with the energetic world around us.","LDYPXnx","","https://with-lasers.myportfolio.com","w.ith.lasers","","w.ith,lasers"
"Jingyi Chen","The heart of the cosmos","the-heart-of-the-cosmos","Video of the work + Q&A","The exploration of the combination of biology and astronomy.","57R5FbF","https://imgur.com/57R5FbF","","jingyichen_cn","",""
"Keir Clyne","_dampMap","dampmap","Talk / Demo + Q&A","_dampMap is a browser based generative program which visualises how nations might form in outerspace.","k8O45y8","","","keirclyne","_dampGrass",""
"Jonny Fuller-Rowell","How Long Is Now?","how-long-is-now","Video of the work + Q&A","What is the present moment, how long is it? This installation attempts to capture a ‘moment’, analysing it to see if a person can have a greater understanding of how they experience time. At what point does time move from slices of time to a continuous duration?","JwKPd4t","","","","",""
"Anna","Data characters","data-characters","Talk / Demo + Q&A","My interests was in exploring datasets as active participant in the creative process. If data structures come with pre-embedded stories or stories seeds I wanted to give it form that would encourage the process of getting to know each other.","Dyc2BmZ","","","alfutka","",""
"Yanyi Lu","The Obscure: Mourning The Lost Art","the-obscure-mourning-the-lost-art","Video of the work + Q&A","People are always talking about certain famous paintings that are carefully hung in the museums. However, some same important artworks have vanished forever from human history by some sad reasons. From this moment on, we lost it forever and never feel it without heavily dusty fog.","rPrWBc8","https://yanyilu.wordpress.com/2020/05/14/the-obscure/","https://yanyilu.wordpress.com/","yanyiiscoding","",""
"Jingyi Chen","CyKink","cykink","Video of the work + Q&A","3D abstract interactive program. Inspired by high-dimensional spaceship in a sci-fi fiction.","owEqLbx","https://vimeo.com/415905371","","jingyichen_cn","",""
"Romain Biros","Particles and 3D experimentations","particles-and-3d-experimentations","Video of the work + Q&A","This project consists on getting data from the KinectV2  to:
 
-       Recreate the 3D scene it observes as accurately as possible
-       Create a 3D explorable world with particles in VR","9cH5qza","","","picofrom","",""
"Owen Planchart","Pyrophonic","pyrophonic","Video of the work + Q&A","Pyrophonic is a prototype for an installation exploring the connection between, sound, fire and ritual. It uses Max, Arduino and Unity to create a semi-intelligible cacophony of religious chants and cultural symbols turned into morphing particle systems, that are triggered by candles.","0sFcQay","","","owenplanchart","",""
"Yuwen Huang","Project about 3D Studio and openFrameworks","project-about-3d-studio-and-openframeworks","Video of the work + Q&A","For This program, combining 3D Studio and openframeworks, to make dynamic model rendering. After modeling in 3D Studio, import it into the program. Let the program draw the 3D shape we need.","MKohMFN","https://youtu.be/SJoJicngALA","","","",""
"Hazel Ryan","Middle Ground","middle-ground","Video of the work + Q&A","This is an experimentation with semi-structured gamelike formats and mining the uncanny through play. It’s a futile chase around memories and terrors, or otherwise a meditation on change, or otherwise a collection of vignettes. The ‘middle ground’ here is that between remembering and letting go, fearing and desiring, seeking and escaping.","fnylqMf","https://capitolhmr.itch.io/middle-ground","","","",""
"David R. Mincer","Laughing in the Face of Death","laughing-in-the-face-of-death","Video of the work + Q&A","In a world under lockdown, how is a young comedian supposed to get a break? Join David R. Mincer in the weird virtual world of his mind as he tries to put on a good show, all while fighting with his own existential struggles.","SxiXn4g","https://davidrmincer.itch.io/","https://davidrmincer.wordpress.com/","davidrmincer","davidrmincer",""
"Yishuai Zhang","""between""","between","Performance","“Between” is a technoetic live performance that seeks to explore consciousness and connectivity through digital, telematic technologies. The performance combines modern techno dance movements with a traditional form of Chinese Taijiquan, presented through two sets of visualisation.","aY2f8dM","http://zhangyishuai.com/between.html","http://zhangyishuai.com","daven_zhang","ai_yishu","ZhangYishuaiStudio"
"Eleanor Edwards","doNOTtouch","donottouch","Video of the work + Q&A","doNOTtouch questions the role of the viewer within the art experience. Using a game like format, users are challenged to abide by the signage or succumb to temptation. The gameplay may seem unclear at times but the reward for the user highlights their importance within the sphere of the art object.","sNhwlSI","http://doc.gold.ac.uk/compartsblog/index.php/work/donottouch/","https://www.eleanoredwards.co.uk/","","",""
"Hazel Ryan","Boundary","boundary","Talk / Demo + Q&A","Boundary​ is an audiovisual piece exploring sonification of visual information, and affect in  interactive media. It consists of an interactive 3D environment and a Max application to drive the sound, communicating via OSC messaging.","HZBffPR","https://capitolhmr.itch.io/boundary","","","",""
"Owen Planchart","The Unbearable Lightness of Mixed Signals","the-unbearable-lightness-of-mixed-signals","Video of the work + Q&A","A work-in progress disobedient chandelier that floats in space and reacts to group dynamics, exploring the themes of affective dissonance and vibrant materialism.","Pw6wdo5","","","owenplanchart","",""
"Camila Colussi","The future","the-future","Video of the work + Q&A","What is democracy?

What does it mean to be governed?

What does it mean to resist?

The piece is a digital writing platform that activates a light installation while typing.  Work-in-progress.
​","dYlxhcH","https://www.camilacolussi.com/notenough","https://www.camilacolussi.com","camilacolussi","",""
"Chris Newth","Computational Spinning Wheel","computational-spinning-wheel","Talk / Demo + Q&A","This installation 'weaves' and controls patterns dependent on the position / speed of a spinning wheel. Designed to be used as a VJ tool / instrument or as a playful installation, I was inspired by a traditional spinning wheel and other spinning machines, such as a lathe and a potter's wheel.","QaqmomJ","","","","Ashford_Pi_Man",""
"Yu Liao","You Cannot Recognise","you-cannot-recognise","Video of the work + Q&A","""I cannot recognise"" is a work using object detection as social commentary. Pointing out how people rely on algorithm, which is mostly a black box, to identify correct information.","ZR6WmAT","https://youtu.be/QpNT-aFsGa4","","sunni0o/?hl=zh-tw","","sunny.liao.3152"
"Alex J. Fordery","""The Usual""","the-usual","Talk / Demo + Q&A","Intrsopective narrative game, exploring the life of a bartender working through quarantine.","m0LrOnb","https://alexjfordery.itch.io/","","alexjforery","alexjfordery",""
"Jonny Fuller-Rowell","Performing Objects","performing-objects","Live performance","This project finds ways to consciously interact with technological objects, becoming performers of the space rather than just the context to it. A ESP32 feather board and an orientation sensor attached to my wrist send data via OSC to a MAX MSP program, controlling the sounds of objects.","dT4Iqt6","http://doc.gold.ac.uk/compartsblog/index.php/work/background-relations/","","","",""
"Katie Tindle","The Yellow Wallpaper","the-yellow-wallpaper","Talk / Demo + Q&A","Reactive visuals for a reading of ‘The Yellow Wallpaper'.The reader’s voice, and intention, interacts with the pattern of the titular paper, creating ornate and unsettling imagery.","lNE0rnq","http://doc.gold.ac.uk/compartsblog/index.php/work/the-yellow-wallpaper/","https://cargocollective.com/katietindle/Home","ktwindmill","",""
"Felix Loftus","My Bitrot, Gutweed Breath","my-bitrot-gutweed-breath","Talk / Demo + Q&A","an auto-ethnographical interactive audio installation developed from my research of Alexis Pauline Gumbs’ philosophy of breath. The sonic environment of the installation is an idea of how I breathe digitally, with you.","iiAEtFC","http://doc.gold.ac.uk/compartsblog/index.php/work/my-bitrot-gut-weed-breath/","","peti_filou","",""
"Mattia Spagnuolo","#andratuttobene","andratuttobene","Video of the work + Q&A","#andratuttobene is an interactive installation that conveys the solidarity and positivity of the Italian people in response to the COVID-19 pandemic.
The work consists of an ever-fluctuating Italian flag whose revolutions can be controlled through gyroscope data sent as OSC messages over Wi-Fi.","8iuSeut","https://www.mattiaspagnuolo.com/works/andratuttobene","https://www.mattiaspagnuolo.com/","mattia_spagnuolo","",""
"Mengdi Li","Cough, No Free","cough-no-free","Video of the work + Q&A","Cough, No Free is an interactive voice-controlled project to demonstrate the current social situation and release the participant from the serious and depressing atmosphere using pixel art illustrations.","dkNKL7g","http://doc.gold.ac.uk/compartsblog/index.php/work/cough-no-free/","","lillianlimd","",""
"Veera Jussila","Postcards from Lost Cities","postcards-from-lost-cities","Talk / Demo + Q&A","Deep learning postcards from tourism destinations hit by the Covid-19 pandemic, capturing the feelings of loss and uncertainty. Coded with PyTorch and TensorFlow in Python. RunwayML used for AttnGAN.","4MHm0Ft","https://www.veerajussila.com/code-and-art/postcards-from-lost-cities","https://www.veerajussila.com","veeraidaj","JussilaVeera","veera.jussila"
"Marcus Ansley","The Best Days","the-best-days","Video of the work + Q&A","The Best Days is a game about student life and mental upkeep. It’s about pushing forward through the days and nights while attempting to stay healthy and sane. It’s a game about the invisible hours spent toiling away in a room without company. These are, in short, the best days of your life.","5WrhVIE","https://marcusansley.com/2020/05/21/the-best-days/","https://marcusansley.com/","","MAnsley_",""
"Clemence Debaig","STRINGS","strings","Performance","In this live-streamed performance, the audience has to collectively decide how the dancer should move through a web interface. The dancer is wearing electronic devices that react to their actions. Each instruction acts as invisible strings to (re)animate a living and dancing body.","2ZwYrFB","http://www.clemencedebaig.com/art-dance#/strings-livestreamed-interactive-performance/","http://www.clemencedebaig.com/","demzou_art","clemencedebaig","demzouart"
"Dr Theo Papatheodorou","Introduction to Computational Arts MA","introduction-to-computational-arts-ma","Talk","Computation consists of all the changes brought about by digital technology. Art is an open set of ways of acting inventively in culture. Mixing the two together in a systematic way gives us computational art.","CpRlJIE","","https://www.gold.ac.uk/pg/ma-computational-arts/","goldsmithscomparts","",""
"with.lasers","orbiðvēl.V","orbidvelv","Talk / Demo + Q&A","A meditation on the interaction we have has an individual with the energetic world around us.","LDYPXnx","","https://with-lasers.myportfolio.com","w.ith.lasers","","w.ith,lasers"
"Yu Liao","You Cannot Recognise","you-cannot-recognise","Video of the work + Q&A","""I cannot recognise"" is a work using object detection as social commentary. Pointing out how people rely on algorithm, which is mostly a black box, to identify correct information.","ZR6WmAT","https://youtu.be/QpNT-aFsGa4","","sunni0o/?hl=zh-tw","","sunny.liao.3152"
"Alesandra Miro Quesada","Computing my Latiness","computing-my-latiness","Talk / Demo + Q&A","This piece uses MaxMSP and a 360 Kinect to body track a salsa dancer and transform her movements into rambunctious particles.","cEhLmzU","https://docs.google.com/presentation/d/1RF_OM-ZfblT67BvmUjWokysa1yl6WBy_QR87avxAdXg/edit?usp=sharing","https://www.bgrandpa.com","bad.grandpa","",""
"Camila Colussi","The future","the-future","Video of the work + Q&A","What is democracy?

What does it mean to be governed?

What does it mean to resist?

The piece is a digital writing platform that activates a light installation while typing.  Work-in-progress.
​","dYlxhcH","https://www.camilacolussi.com/notenough","https://www.camilacolussi.com","camilacolussi","",""
"Yuwen Huang","Project about 3D Studio and openFrameworks","project-about-3d-studio-and-openframeworks","Video of the work + Q&A","For This program, combining 3D Studio and openframeworks, to make dynamic model rendering. After modeling in 3D Studio, import it into the program. Let the program draw the 3D shape we need.","MKohMFN","https://youtu.be/SJoJicngALA","","","",""
"Jonny Fuller-Rowell","How Long Is Now?","how-long-is-now","Video of the work + Q&A","What is the present moment, how long is it? This installation attempts to capture a ‘moment’, analysing it to see if a person can have a greater understanding of how they experience time. At what point does time move from slices of time to a continuous duration?","JwKPd4t","","","","",""
"Oliver Schilke","Sumbios","sumbios","Video of the work + Q&A","Here Physarum Polycephalum explores its natural habitats using soundscapes and reactive visuals. The soundscape of the room also plays effect on these visuals exhibited, that alter our abstraction of the relationship between the biological worlds and the Anthropocene.","Pjb07aX","","","____scho","",""
"Andrew Chang","Stop Projecting Your Feelings Onto Others","stop-projecting-your-feelings-onto-others","Video of the work + Q&A","Stop projecting your feelings onto others is a computational interact projection and installation, reflecting the projection effect in Psychology.","jTOdsHh","https://www.andrewtw.com/post-bs4ix/stop-projecting-your-feelings-onto-others","https://www.andrewtw.com/","chia_yang.tw","",""
"Katie Tindle","The Yellow Wallpaper","the-yellow-wallpaper","Talk / Demo + Q&A","Reactive visuals for a reading of ‘The Yellow Wallpaper'.The reader’s voice, and intention, interacts with the pattern of the titular paper, creating ornate and unsettling imagery.","lNE0rnq","http://doc.gold.ac.uk/compartsblog/index.php/work/the-yellow-wallpaper/","https://cargocollective.com/katietindle/Home","ktwindmill","",""
"Chris Newth","Computational Spinning Wheel","computational-spinning-wheel","Talk / Demo + Q&A","This installation 'weaves' and controls patterns dependent on the position / speed of a spinning wheel. Designed to be used as a VJ tool / instrument or as a playful installation, I was inspired by a traditional spinning wheel and other spinning machines, such as a lathe and a potter's wheel.","QaqmomJ","","","","Ashford_Pi_Man",""
"Mengdi Li","Cough, No Free","cough-no-free","Video of the work + Q&A","Cough, No Free is an interactive voice-controlled project to demonstrate the current social situation and release the participant from the serious and depressing atmosphere using pixel art illustrations.","dkNKL7g","http://doc.gold.ac.uk/compartsblog/index.php/work/cough-no-free/","","lillianlimd","",""
"Lou Terry","Interactive Instrument","interactive-instrument","Video of the work + Q&A","This is a sonic installation that responds to sounds in a room, and can be played and performed with as a semi-controllable, semi-uncontrollable instrument.","QCddIha","http://doc.gold.ac.uk/compartsblog/index.php/work/interactive-instrument/","","","",""
"Agnes, Yuhyeon Jun","Light up the Balls","light-up-the-balls","Talk / Demo + Q&A","As an audiovisual(AV) interactive art, it engages the audience with their hand gesture to generate rhythmic visuals such as ‘lighting and dancing balls’ which produce mixing sounds with the beat as well. The Machine Learning helps them to participate as VJ Producer.","3tEhzJg","https://www.joyfulmediaartistagnes.com/work/light-up-the-balls","https://www.joyfulmediaartistagnes.com","joyfulmediaartist","",""
"Yishuai Zhang","""between""","between","performance","“Between” is a technoetic live performance that seeks to explore consciousness and connectivity through digital, telematic technologies. The performance combines modern techno dance movements with a traditional form of Chinese Taijiquan, presented through two sets of visualisation.","aY2f8dM","http://zhangyishuai.com/between.html","http://zhangyishuai.com","daven_zhang","ai_yishu","ZhangYishuaiStudio"
"Duncan Paterson","CrowMisoMoon","crowmisomoon","Video of the work + Q&A","During lockdown, I’m more aware of the world around me, specifically the omnipresent crows on Hackney Marshes. I’ve been recording ‘conversations’ with these creatures, who seem to be flourishing in the absence of people. I’ve combined the recordings with an interactive ‘terraforming’ visual in Max.","Y1G3FDg","https://vimeo.com/413660605","","brother_sjur","",""
"Ernie Lafky","Jeff in a Jar - Prototype 1.0","jeff-in-a-jar-prototype-10","performance","Jeff in a Jar imagines a dystopian future world where the space colonisation dreams of Jeff Bezos have come true. Though the inhabitants of Jeff’s space colony have long since perished, Jeff’s brain lives on, still thinking it’s in control of a vast galactic empire.","8GOkqIk","","","","",""
"Lou Terry","Feral Robotic Birds","feral-robotic-birds","video","Birdsong adapts and responds to sonic changes in the environment.  Using nightingale songs as a start-point, Feral Robotic Birds speculate the future of birdsong by listening to their environments, and slowly incorporating the sonic history of those environments into their ever-changing songs.","XY9T5Xh","http://doc.gold.ac.uk/compartsblog/index.php/work/feral-robotic-birds/","","","",""
"Yewen Jin","The Sound of Poetry","the-sound-of-poetry","video","This is a poetry reading with ambient sound background that's triggerred by the way that the verses are read. The process of this project is half about collaging sound and half about analyzing the sound of poetry.","ee1gpeM","","https://yewenjin.com","elsaurum","",""
"Seyeon Park","Neo-4'33","neo-433","Performance","Sound is constant and everywhere. Sound is time-based medium. The layered sound create a timeline, but it is disappear and immateriality. Sound is also the atmosphere and space. Neo-4'33 is the sound art piece that adopted idea of experimental composer John Cage's art piece call 4'33.","GDKswxd","","https://www.seyeonpark.com","artseyeonpark","sparkartxx","seyeonpark.1985"
"James Lawton","Public Opinion","public-opinion","Video of the work + Q&A","An audio performance that has a socio-political bent to it about how we lose our own unique voice within the onslaught of pervasive media. It's strongly based off of media and public opinion literature. It takes its name from the highly influential and controversial 1922 book by Walter Lippmann.","SQZ4E59","https://jameslawton.net/public-opinion","https://jameslawton.net/","jameslawtonart","jameslawtonart","jameslawtonart"
"Julian Burgess","Sonicode","sonicode","Video","Sonicode is a performance piece producing audio-visual work derived from barcodes. The barcode is input using a wireless scanner and informs a rhythmic pattern made of audio samples that I have collected from items around my flat.","y0dguIs","","https://aubergene.com","aubergene","aubergene",""
